index,inchikey,standard_smiles,scaffold,xhash,group_size
883,VXZJDAXLBCMRRZ-UHFFFAOYSA-N,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)nc4)ccc32)cc1,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)nc4)ccc32)cc1,64aaef5271f02c9e8ebca8768cbdad4c3435db09,1
884,VYCDMLTYDSVARC-UHFFFAOYSA-N,C=c1c(CCC(=O)O)c(C)[nH]c1=Cc1c(O)[nH]c2cc(-c3ccccc3OC)ccc12,C=c1cc[nH]c1=Cc1c[nH]c2cc(-c3ccccc3)ccc12,6b9ca0764ba28a25db8d460abcfe441b5c6180e2,1
885,VZLVPTSUFJDRRQ-UHFFFAOYSA-N,CNCCc1ccc(Nc2ncc(Cl)c(-c3ccc(C(C)(C)N)cc3)n2)cc1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,c0abd6b731c62c7e3c5da8cd60b61ff6caac2191,1
886,VZLXMVSBJXRICD-UHFFFAOYSA-N,CC(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3cnccc32)cc1,O=C(Nc1ccccc1)c1ccccc1Cn1ccc2cnccc21,4240f0438c3d22041c6e2a935690c65f31bf994b,1
887,VZMXZHOJAGFSNF-UHFFFAOYSA-N,N#Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,506f72a51480588c04bdd78fee2e82eeb204f9d5,1
888,VZXRRZNHOXWBBZ-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc2[nH]c(O)c(C=c3[nH]c4c(c3=CCCN3CCN(CCO)CC3)CCCC4)c2c1,C(c1c[nH]c2ccccc12)=c1[nH]c2c(c1=CCCN1CCNCC1)CCCC2,89dd7174b1cd5591371d0eaf4e37929cd9a5fb80,1
889,WALBWDUVJYSLBL-UHFFFAOYSA-N,Nc1ncnc2scc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,O=C(Nc1ccccc1)Nc1ccc(-c2csc3ncncc23)cc1,59117f96299a9bb6de205edc80f7ddd55ae1eb22,1
890,WBLLIZAEHNGTFX-UHFFFAOYSA-N,COC(=O)c1ccc(-c2nnc(Nc3ccc(Cl)cc3)c3ccccc23)cc1,c1ccc(Nc2nnc(-c3ccccc3)c3ccccc23)cc1,bfd91b9900371906037ce254e3d065fb968b9e4c,1
891,WCWKPLLIOVVNLB-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc2[nH]c(O)c(C=c3[nH]cc4c3=CCOC4=O)c2c1,O=C1OCC=c2c1c[nH]c2=Cc1c[nH]c2ccccc12,2ca23f10795595325d826e8728343f3e0b0babe9,1
892,WCWUXEGQKLTGDX-LLVKDONJSA-N,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,c1cc2c(Oc3ccc4[nH]ccc4c3)ncnn2c1,8c5fe6125f59824d2f5d22d5d048b69fda446e53,2
893,WCWUXEGQKLTGDX-NSHDSACASA-N,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@H](C)O)c(C)c34)ccc2[nH]1,c1cc2c(Oc3ccc4[nH]ccc4c3)ncnn2c1,8c5fe6125f59824d2f5d22d5d048b69fda446e53,2
894,WDCDRYHNMJJKBE-UHFFFAOYSA-N,CN(C)CCNC(=O)Nc1ccc(N(C)c2ccnc(Nc3ccc(CS(C)(=O)=O)cc3)n2)cc1,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,568e1f191f8f0594aedf18fa86cb80edb287f9f2,1
895,WDEPCTJBPQDCEB-UHFFFAOYSA-N,CNc1nccc(-c2cc(C)cnc2Oc2cccc(C(=O)Nc3cc(C(F)(F)F)ccc3N3CCCCC3)c2C)n1,O=C(Nc1ccccc1N1CCCCC1)c1cccc(Oc2ncccc2-c2ccncn2)c1,83d7d69c418b6141d0fa02b615b2dca624c654dd,1
